"age","sex","breed","only_cat","preferred_time","energy_level","average_hours_per_week","preferred_toy","household","health_condition"
10,"Female","Ragdoll","Yes","Morning","Medium",9,"Plush Toys",2,"Healthy"
4,"Male","Sphynx","Yes","Morning","High",16,"Rubber Bands",1,"Healthy"
3,"Female","Sphynx","Yes","Afternoon","Medium",18,"Rubber Bands",2,"Healthy"
1,"Male","Sphynx","No","Afternoon","High",8,"Rubber Bands",4,"Minor Illness"
12,"Male","Persian","No","Morning","Medium",9,"Spheric Objects",4,"Chronic Illness"
12,"Female","Ragdoll","No","Evening","Medium",5,"Catnip Toys",5,"Healthy"
2,"Male","Moggie","No","Morning","Low",4,"Rope",2,"Minor Illness"
8,"Female","Ragdoll","Yes","Afternoon","High",19,"Rope",2,"Healthy"
2,"Female","Russian Blue","No","Evening","Low",15,"Rope",4,"Chronic Illness"
6,"Female","Moggie","No","Morning","Low",19,"Plush Toys",2,"Minor Illness"
2,"Female","Siamese","No","Afternoon","Medium",10,"Hair Ties",4,"Minor Illness"
7,"Female","Maine Coon","No","Evening","High",3,"Hair Ties",4,"Overweight/Obese"
6,"Female","Ragdoll","Yes","Afternoon","Medium",9,"Catnip Toys",4,"Chronic Illness"
5,"Male","Maine Coon","Yes","Evening","High",4,"Spheric Objects",5,"Chronic Illness"
2,"Female","Norwegian Forest","No","Evening","Medium",17,"Spheric Objects",3,"Overweight/Obese"
4,"Male","Ragdoll","No","Morning","Low",1,"Textile",5,"Healthy"
2,"Female","Moggie","No","Afternoon","Medium",16,"Plush Toys",4,"Overweight/Obese"
6,"Female","Bengal","Yes","Evening","Medium",20,"Rubber Bands",2,"Healthy"
6,"Male","Persian","No","Evening","Low",12,"Catnip Toys",3,"Minor Illness"
12,"Male","Moggie","No","Afternoon","Medium",11,"Rope",2,"Minor Illness"
1,"Male","Norwegian Forest","No","Afternoon","High",18,"Hair Ties",5,"Healthy"
8,"Female","Russian Blue","Yes","Afternoon","High",16,"Catnip Toys",3,"Overweight/Obese"
6,"Female","British Shorthair","Yes","Afternoon","Low",16,"Hair Ties",5,"Chronic Illness"
10,"Female","Persian","Yes","Afternoon","High",9,"Spheric Objects",4,"Minor Illness"
5,"Male","Maine Coon","No","Afternoon","Medium",13,"Textile",2,"Chronic Illness"
2,"Male","Siamese","Yes","Evening","Medium",20,"Plush Toys",3,"Minor Illness"
11,"Male","Norwegian Forest","Yes","Morning","Low",9,"Rubber Bands",3,"Chronic Illness"
7,"Male","Ragdoll","Yes","Evening","Low",20,"Plush Toys",2,"Minor Illness"
